ID;Datetime;Latitude;Longitude;Temperature (Cº);Wind Speed (Km/H);Humidity (%);Risk factor;Surroundings;Distance (Mts);Decisions
0;01/12/2023 00:00:00;-33.045642;-71.535046;21;33;56;glass bottle;wood;348;['Contact waste collectors']
1;01/12/2023 00:10:00;-33.045642;-71.530046;22;30;54;illegal electricity connection;trash;55;['Notify local collaborators']
2;01/12/2023 00:20:00;-33.045642;-71.525046;21;33;56;fire;highway;186;['Call fire fighters', 'Notify government authorities', 'Request support to security forces', 'Notify local collaborators']
3;01/12/2023 00:30:00;-33.045642;-71.52004600000001;20;30;58;fire;tent;646;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
4;01/12/2023 00:40:00;-33.045642;-71.51504600000001;20;27;58;fire;trash;51;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
5;01/12/2023 00:50:00;-33.045642;-71.51004600000002;19;62;56;glass bottle;trash;283;['Contact waste collectors']
6;01/12/2023 01:00:00;-33.045642;-71.50504600000002;18;59;56;suspicious presence;trees;151;['Notify local authorities']
7;01/12/2023 01:10:00;-33.045642;-71.50004600000003;19;59;56;dry grass;trash;19;['Notify local authorities', 'Notify local collaborators']
8;01/12/2023 01:20:00;-33.045642;-71.49504600000003;18;56;54;illegal electricity connection;tent;64;['Notify local collaborators']
9;01/12/2023 01:30:00;-33.045642;-71.49004600000004;28;59;56;wood;fuel recipient;51;['Notify local collaborators']
10;01/12/2023 01:40:00;-33.050642;-71.49004600000004;29;29;56;fire;street;90;['Call fire fighters', 'Notify government authorities', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local collaborators']
11;01/12/2023 01:50:00;-33.050642;-71.49504600000003;30;29;58;lighting a grill;road;24;['Request support to security forces', 'Notify government authorities', 'Notify local authorities']
12;01/12/2023 02:00:00;-33.050642;-71.50004600000003;29;29;44;wastes;road;179;[]
