ID;Datetime;Latitude;Longitude;Temperature (Cº);Wind Speed (Km/H);Humidity (%);Risk factor;Surroundings;Distance (Mts)
0;01/12/2023 00:00:00;-33.045642;-71.535046;21;26;7;smoking;trees;657
1;01/12/2023 00:10:00;-33.045642;-71.530046;20;29;5;bonfire;trees;112
2;01/12/2023 00:20:00;-33.045642;-71.525046;20;29;7;papers;dry grass;22
3;01/12/2023 00:30:00;-33.045642;-71.52004600000001;20;32;7;none;electric connection;
4;01/12/2023 00:40:00;-33.045642;-71.51504600000001;20;35;9;smoke;trees;27
5;01/12/2023 00:50:00;-33.045642;-71.51004600000002;21;97;11;none;trash;
6;01/12/2023 01:00:00;-33.045642;-71.50504600000002;20;94;9;lighting a grill;trash;44
7;01/12/2023 01:10:00;-33.045642;-71.50004600000003;19;91;11;soldering;ground;163
8;01/12/2023 01:20:00;-33.045642;-71.49504600000003;19;91;13;lit campfire;grass;239
9;01/12/2023 01:30:00;-33.045642;-71.49004600000004;23;94;15;fire;trees;3
10;01/12/2023 01:40:00;-33.050642;-71.49004600000004;23;30;15;illegal electricity connection;trees;66
11;01/12/2023 01:50:00;-33.050642;-71.49504600000003;23;30;13;fire;trash;20
12;01/12/2023 02:00:00;-33.050642;-71.50004600000003;23;30;58;suspicious presence;trash;7
13;01/12/2023 02:10:00;-33.050642;-71.50504600000002;24;33;60;bonfire;trees;72
14;01/12/2023 02:20:00;-33.050642;-71.51004600000002;24;33;62;smoking;electric connection;57
15;01/12/2023 02:30:00;-33.050642;-71.51504600000001;25;38;62;soldering;fuel recipient;88
16;01/12/2023 02:40:00;-33.050642;-71.52004600000001;26;41;62;glass;wood;25
17;01/12/2023 02:50:00;-33.050642;-71.525046;25;44;64;lit campfire;road;107
18;01/12/2023 03:00:00;-33.050642;-71.530046;20;47;64;gas recipient;street;129
19;01/12/2023 03:10:00;-33.050642;-71.535046;19;47;66;dry grass;dry grass;30
20;01/12/2023 03:20:00;-33.055642000000006;-71.535046;20;37;68;none;wood;
21;01/12/2023 03:30:00;-33.055642000000006;-71.530046;21;40;70;grill on;street;63
22;01/12/2023 03:40:00;-33.055642000000006;-71.525046;21;40;72;lighting a grill;street;75
23;01/12/2023 03:50:00;-33.055642000000006;-71.52004600000001;22;37;70;fire;dry grass;66
24;01/12/2023 04:00:00;-33.055642000000006;-71.51504600000001;21;37;53;soldering;highway;4
25;01/12/2023 04:10:00;-33.055642000000006;-71.51004600000002;22;54;51;illegal electricity connection;house;24
26;01/12/2023 04:20:00;-33.055642000000006;-71.50504600000002;21;57;51;smoking;fuel recipient;276
27;01/12/2023 04:30:00;-33.055642000000006;-71.50004600000003;16;54;51;suspicious presence;road;5
28;01/12/2023 04:40:00;-33.055642000000006;-71.49504600000003;17;57;51;lighting a grill;tent;119
29;01/12/2023 04:50:00;-33.055642000000006;-71.49004600000004;18;60;49;glass;tent;42
30;01/12/2023 05:00:00;-33.06064200000001;-71.49004600000004;19;38;47;soldering;highway;46
31;01/12/2023 05:10:00;-33.06064200000001;-71.49504600000003;19;41;49;smoking;electric connection;66
32;01/12/2023 05:20:00;-33.06064200000001;-71.50004600000003;19;44;47;bonfire;trash;114
33;01/12/2023 05:30:00;-33.06064200000001;-71.50504600000002;19;44;47;smoking;tent;125
34;01/12/2023 05:40:00;-33.06064200000001;-71.51004600000002;19;41;45;none;wood;
35;01/12/2023 05:50:00;-33.06064200000001;-71.51504600000001;19;48;45;bonfire;trash;176
36;01/12/2023 06:00:00;-33.06064200000001;-71.52004600000001;25;48;19;grill on;tent;16
37;01/12/2023 06:10:00;-33.06064200000001;-71.525046;24;51;17;wastes;road;366
38;01/12/2023 06:20:00;-33.06064200000001;-71.530046;23;54;15;gas recipient;road;86
39;01/12/2023 06:30:00;-33.06064200000001;-71.535046;23;57;15;fire;wood;162
40;01/12/2023 06:40:00;-33.06564200000001;-71.535046;23;75;15;fire;tent;568
41;01/12/2023 06:50:00;-33.06564200000001;-71.530046;23;75;13;glass;highway;4
42;01/12/2023 07:00:00;-33.06564200000001;-71.525046;24;75;11;smoking;trash;77
43;01/12/2023 07:10:00;-33.06564200000001;-71.52004600000001;23;72;9;illegal electricity connection;fuel recipient;20
44;01/12/2023 07:20:00;-33.06564200000001;-71.51504600000001;24;75;9;wastes;dry grass;123
45;01/12/2023 07:30:00;-33.06564200000001;-71.51004600000002;21;115;11;smoke;street;148
46;01/12/2023 07:40:00;-33.06564200000001;-71.50504600000002;20;112;13;none;grass;
47;01/12/2023 07:50:00;-33.06564200000001;-71.50004600000003;21;112;13;lit campfire;ground;50
48;01/12/2023 08:00:00;-33.06564200000001;-71.49504600000003;22;115;2;none;electric connection;
49;01/12/2023 08:10:00;-33.06564200000001;-71.49004600000004;23;115;2;suspicious presence;fuel recipient;63
50;01/12/2023 08:20:00;-33.070642000000014;-71.49004600000004;22;108;0;burning waste;dry grass;36
51;01/12/2023 08:30:00;-33.070642000000014;-71.49504600000003;22;108;-2;papers;fuel recipient;748
52;01/12/2023 08:40:00;-33.070642000000014;-71.50004600000003;21;108;-4;soldering;trash;28
53;01/12/2023 08:50:00;-33.070642000000014;-71.50504600000002;20;105;-6;lit campfire;wood;75
54;01/12/2023 09:00:00;-33.070642000000014;-71.51004600000002;29;105;-4;gas recipient;highway;42
55;01/12/2023 09:10:00;-33.070642000000014;-71.51504600000001;29;98;-2;smoke;dry grass;86
56;01/12/2023 09:20:00;-33.070642000000014;-71.52004600000001;28;101;-4;suspicious presence;tent;77
57;01/12/2023 09:30:00;-33.070642000000014;-71.525046;27;104;-6;fire;fuel recipient;102
58;01/12/2023 09:40:00;-33.070642000000014;-71.530046;28;101;-6;glass bottle;grass;50
59;01/12/2023 09:50:00;-33.070642000000014;-71.535046;28;98;-6;wastes;trees;7
60;01/12/2023 10:00:00;-33.075642000000016;-71.535046;27;37;4;none;house;
61;01/12/2023 10:10:00;-33.075642000000016;-71.530046;28;37;2;gas recipient;house;9
62;01/12/2023 10:20:00;-33.075642000000016;-71.525046;29;37;0;smoke;highway;64
63;01/12/2023 10:30:00;-33.075642000000016;-71.52004600000001;33;40;0;burning waste;tent;14
